ID,Name,SpType,[Fe/H],e[Fe/H],A(Li),eA(Li),Teff_K,eTeff_K,vsini,Age_Ga,eAge_Ga,M_Msol,eM_Msol,logRHK,elogRHK,Prot_d,R_Rsol,N_planets,sum_Mp,Porb_d,a_au,e,logOD,Pl,Nbr.
HD127334,HD 127334  ,G5 V CH0.3,0.24,0.02,1.61,0.1,5669,95,1.6,7.143,2.92,1.007,0.036,-4.8854201981,-0.12693461354,,1.239,,,,,,,N,
HD128311,HD 128311  ,K0,0.07,0.02,0.13,,4863,30,3.2,3.31,3.273,0.79,0.02,-4.68386329862,0.192068256300001,11.54,0.814,2,6.37,448.6,1.099,0.17,7.9683443,Y,2
HD128340,HD 128340  ,F5/6V,-0.56,0.03,2.58,0.1,6083,117,4.5,6.775,3.403,0.89,0.047,,,,1.078,,,,,,,N,
HD128431,HD 128431  ,G8V,-0.34,0.04,0.1,,5566,67,2.7,3.838,3.497,0.814,0.032,,,,0.812,,,,,,,N,
HD12846,HD 12846  ,G2/3V,-0.27,0.03,0.94,,5802,77,2.2,4.608,3.585,0.882,0.036,-4.90772433618,0,21,0.971,,,,,,,N,
HD128571,HD 128571  ,F7V,-0.38,0.05,2.47,0.1,6159,94,3.6,6.685,1.783,0.976,0.047,,,36.3,1.32,,,,,,,N,
HD128674,HD 128674  ,G7 V,-0.38,0.01,0.83,0.25,5688,77,1.993,3.842,3.479,0.835,0.03,-4.9170959393,0.0888492333599995,1.07206,0.883,,,,,,,N,
HD129191,HD 129191  ,G6V,0.24,0.03,1.08,0.12,5780,39,1.8,3.072,1.934,1.08,0.038,-4.913470051885,-0.0402198444950006,21,1.155,,,,,,,N,
HD129229,HD 129229  ,G0V,-0.42,0.02,0.28,,5823,47,2.7,3.982,0.237,1.2,0.033,,,,2.657,,,,,,,N,
HD129445,HD 129445  ,G6V,0.36,0.06,0.73,,5605,27,1.4,5.54,1.433,1.04,0.024,-4.76140079699,-0.25756377588,,1.165,1,1.6,1840,2.9,0.7,10.7644265,Y,1
HD129590,HD 129590  ,G3V,-0.09,0.2,,,5782,101,32,7.821,0.633,1.054,0.023,,,4.46548,1.717,,,,,,,N,
HD129814,HD 129814  ,G2/3V,0,0.03,1.27,,5816,60,1.39,8.166,1.713,0.971,0.03,-4.71000846379,-0.16592309113,18,1.224,,,,,,,N,
HD129829,HD 129829  ,G1V,-0.18,0.05,2.6,0.1,6098,101,4.5,3.037,2.499,1.022,0.054,,,,1.111,,,,,,,N,
HD130087,HD 130087  ,G2IV,0.28,0.02,2.65,0.02,6055,69,3.6,3.101,0.715,1.227,0.025,-4.93508980704,0,17,1.496,,,,,,,N,
HD130322,HD 130322  ,K0V,0,0.02,0.38,0.08,5323,56,1.8,5.087,3.826,0.879,0.028,-4.62214312948,,26.1,0.875,1,1.05,10.72,0.088,0.044,1.6907948,Y,1
HD13043,HD 13043  ,G2/3V,0.09,0.03,2.01,0.02,5876,56,2.7,6.98,1.017,1.06,0.025,-4.942899312965,0.0302919217350004,23,1.425,,,,,,,N,
HD130948,HD 130948  ,F9IV-V+L4+L4,0.03,0.02,2.86,,6013,368,6,3.57,3.46,1.025,0.05,-4.39921237132,0.00878172477000039,1.14498,1.058,,,,,,,N,
HD130948A,HD 130948  ,G2/3V,-0.11,0.09,2.86,0.07,6013,368,8.54,3.728,3.554,0.992,0.053,,,1.14498,1.058,,,,,,,N,
HD130989,HD 130989  ,F6V,-0.21,0.05,1.16,,6333,56,6.3,3.404,0.497,1.264,0.063,,,,2.026,,,,,,,N,
HD131117,HD 131117  ,G0/1V,0.14,0.03,2.78,0.1,5997,92,5.4,3.856,0.667,1.278,0.048,-4.718009937905,-0.288776254445,1.1196,1.836,,,,,,,N,
HD131156,* ksi Boo  ,G2/3V,-0.1,0.02,2.46,0.09,6160,695,3.9,4.047,3.831,0.855,0.028,-4.57709155594,0.27279688027,8,1.54,,,,,,,N,
HD131183,HD 131183  ,G5V,0.1,0.04,0.29,,5670,50,1.7,9.197,1.521,1.004,0.036,-4.783990212305,-0.229351770655001,0.922297,1.373,,,,,,,N,
HD131218,HD 131218  ,G3V,-0.07,0.04,2.14,0.12,5771,43,2.7,2.047,1.931,0.957,0.038,,,,0.944,,,,,,,N,
HD131565,HD 131565  ,G5V,-0.18,0.04,1.19,,5732,57,2.7,1.805,1.841,0.891,0.032,,,,0.877,,,,,,,N,
HD131653,HD 131653  ,G8V,-0.65,0.02,0.05,,5446,257,2.7,4.213,3.992,0.742,0.024,,,,0.82,,,,,,,N,
HD131664,HD 131664  ,G2/3V,0.29,0.04,2.19,0.04,5800,49,3.01,1.859,1.374,1.116,0.024,-4.788054516485,-0.0614382884550002,25,1.132,,,,,,,N,
HD131923,HD 131923  ,G4 V,0.07,0.03,0.65,,5594,30,2.08,10.629,0.804,0.968,0.017,-4.90541849562,0.0308069795399994,27.1518,1.362,,,,,,,N,
HD1320,HD 1320  ,G2 V,-0.27,0.01,1.25,0.12,5729,40,3,3.323,2.527,0.891,0.03,-4.84639213223,0.0330123221500003,26.441,0.887,,,,,,,N,
HD132375,HD 132375  ,F7V,0.07,0.03,2.26,0.1,6255,52,6.8,3.428,0.551,1.232,0.037,-4.638085907515,0.226788615955,,1.627,,,,,,,N,
HD132406,HD 132406  ,G0,0.111,0.024,1.23,,5754,45,4,8.362,1.024,1.021,0.022,,,,1.395,1,5.61,974,1.98,0.34,8.6098669,Y,1
HD13252,HD 13252  ,G8V,-0.23,0.04,0.07,,5390,447,,4.32,3.938,0.833,0.033,,,,0.891,,,,,,,N,
HD132648,HD 132648  ,G8.5 V,-0.37,0.01,0.48,,5500,68,2.229,3.848,3.477,0.795,0.026,-4.692063707285,-0.154668147765,1.14758,0.819,,,,,,,N,
HD133161,HD 133161  ,G2V,0.21,0.03,2.57,0.02,5971,34,3.6,4.076,0.702,1.133,0.021,-4.68969546204,-0.125530323810001,16,1.332,,,,,,,N,
HD133295,HD 133295  ,G0/G1V,0,0.03,2.84,,6049,83,9.7,1.499,1.312,1.088,0.029,-4.34361716967,0.02500584565,14.1864,1.098,,,,,,,N,
HD133600,HD 133600  ,G0,-0.05,0.07,0.59,0.03,5807,34,1.42,7.205,1.278,0.977,0.024,,,,1.189,,,,,,,N,
HD133633,HD 133633  ,G5/8,-0.46,0.04,0.2,,5596,82,3.6,7.302,3.835,0.822,0.032,,,,0.913,,,,,,,N,
HD134044,HD 134044  ,G2/3V,0.04,0.03,2.84,0.12,6189,27,4.4,1.889,0.589,1.191,0.022,-4.808476256705,0.0385869917249995,,1.294,,,,,,,N,
HD134060,HD 134060  ,G0 V Fe+0.4,0.13,0.01,2.06,0.02,5922,36,3.21,2.601,1.284,1.104,0.026,-4.84735665118,-0.0261789355299999,27.1518,1.181,2,0.1858,3.27,0.0444,0.4,-0.1787941,Y,2
HD134088,HD 134088  ,G2/3(V),-0.75,0.02,1.24,0.03,5791,98,2.7,8.296,3.027,0.79,0.025,,,,0.945,,,,,,,N,
HD13445,HD 13445  ,K0V,-0.23,0.02,0.17,,5264,130,2.4,3.883,3.541,0.788,0.022,-4.813667684185,0.0531534601950003,30,0.808,1,4.01,15.766,0.11,0.046,1.8812053,Y,1
HD134606,HD 134606  ,G6 IV,0.28,0.02,0.7,,5587,185,1.77,4.391,3.693,1.031,0.043,-5.24991120994,0.20747444948,11.6,1.171,3,0.1884,12.083,0.1023,0.15,2.2141251,Y,3
HD134664,HD 134664  ,G1.5 V,0.1,0.01,2.01,0.02,5800,63,1.09,2.448,1.99,1.046,0.032,-4.85627966582,0.00684169877000063,0.922297,1.053,,,,,,,N,
HD134702,HD 134702  ,G3V,-0.04,0.04,1.94,0.12,5852,52,2.7,1.769,1.668,0.984,0.038,-4.86413905433,0.0848787042299994,,0.979,,,,,,,N,
HD134902,HD 134902  ,G0,0,0.07,1.31,0.03,5803,50,,1.193,1.077,1.03,0.022,,,,0.997,,,,,,,N,
HD134987,* 23 Lib  ,G5V,0.26,0.02,0.89,0.12,5699,41,2.3,6.373,1.095,1.066,0.021,-5.00226205486333,-0.04772530306,9.33533,1.289,2,2.41,258.19,0.81,0.12,6.6996850,Y,2
HD13507,V* V450 And  ,G2/3V,-0.01,0.03,2.47,0.1,5698,48,5.8,1.33,1.255,0.966,0.022,-4.45277675082,0.000960416719999913,7.45,0.95,,,,,,,N,
HD135468,HD 135468  ,G2/3V,-0.01,0.05,2.82,0.1,6244,109,5.94,2.884,0.392,1.39,0.059,,,,2.211,,,,,,,N,
HD135599,HD 135599  ,K0,-0.06,0.03,0.47,,5308,210,3.7,4.103,3.883,0.82,0.024,-4.433962528085,-0.0230365248749997,,0.805,,,,,,,N,
HD135625,HD 135625  ,G3IV/V,0.14,0.04,2.47,0.1,5950,79,4.5,5.059,1.501,1.121,0.049,-4.98761548728,0,1.04328,1.412,,,,,,,N,
HD13578,HD 13578  ,G3IV,-0.01,0.04,2.07,0.12,5843,81,2.7,7.446,1.334,1.061,0.047,,,1.12208,1.587,,,,,,,N,
HD136118,HD 136118  ,F7V,-0.05,0.02,2.4,0.1,6148,22,7.5,4.289,0.692,1.2,0.042,-4.661441184265,-0.129528082015001,,1.745,,,,,,,N,
HD136352,* nu.02 Lup  ,G2- V,-0.34,0.01,0.86,,5826,141,0.1,5.257,4.027,0.897,0.04,-5.082381506855,0.239546883465001,23,0.993,3,0.0824,11.577,0.0933,0.16,2.6895658,Y,3
HD136580,HD 136580  ,F7V,-0.11,0.03,2.87,0.08,6213,65,4.5,3.97,0.985,1.115,0.032,-4.933076027135,0.101900254915,,1.349,,,,,,,N,
HD136654,HD 136654  ,F5,0.09,0.03,2.28,0.04,6351,31,12.6,1.49,0.541,1.297,0.031,-4.95653062852,0.10807307453,17,1.411,,,,,,,N,
HD136713,HD 136713  ,G2/3V,0.18,0.03,0.06,,4977,31,3.35,3.015,3.147,0.798,0.026,-4.867007800655,0.0549428442549997,,0.829,,,,,,,N,
HD136925,HD 136925  ,G0,-0.28,0.03,1.04,0.05,5802,84,0.1,9.797,1.546,0.891,0.022,-4.95348648538,-0.00289392514000042,,1.186,,,,,,,N,
HD13724,HD 13724  ,G3/5V,0.23,0.02,1.56,0.12,5775,62,4,1.928,1.698,1.07,0.034,-4.264660021605,-0.482529018045001,25.7666,1.059,,,,,,,N,
HD137676,HD 137676  ,G8V,-0.51,0.04,1.12,,5291,50,,11.347,0.258,0.917,0.01,-5.060996059855,-0.0763239747249997,14.1864,2.079,,,,,,,N,
HD13808,HD 13808  ,K2V,-0.18,0.03,,,5086,62,0.5,5.249,4.048,0.784,0.02,-5.084075814695,0.155623029685,37,0.815,2,0.0385,14.182,0.1017,0.17,3.6749998,Y,
HD13825,HD 13825  ,G2/3V,0.19,0.03,1,,5644,48,1.5,4.759,2.355,1.02,0.031,-5.01698183141,0,,1.116,,,,,,,N,
HD138573,HD 138573  ,G2/3V,-0.03,0.03,0.86,0.1,5734,38,1.3,5.12,2.183,0.965,0.03,-4.93896328037,0,24,1.026,,,,,,,N,
HD138776,HD 138776  ,G6IV,0.38,0.03,1.11,,5595,108,,7.28,2.261,1.057,0.037,-4.93357080958,-0.01851622548,,1.36,,,,,,,N,
HD138799,HD 138799  ,K1/2(V),0.05,0.05,0.34,,5226,58,0.9,5.143,4.016,0.859,0.031,,,,0.901,,,,,,,N,
HD1388,HD 1388  ,G2V,-0.01,0.01,2.08,0.02,5949,55,3.18,5.145,1.652,1.026,0.03,-4.889495861255,0.0085216530750003,18.3,1.246,,,,,,,N,
HD13908,HD 13908  ,F8,-0.08,0.1,1.35,,6135,67,3.6,3.616,0.498,1.287,0.051,,,1.07549,2.023,2,5.995,19.382,0.154,0.046,0.6703780,Y,2
HD13931,HD 13931  ,G0,0.03,0.03,1.84,0.04,5838,32,1.3,7.296,0.866,1.032,0.021,-5.02948516463,0.0905487773399996,,1.281,1,1.88,4218,5.15,0.02,12.0405808,Y,1
HD139457,HD 139457  ,F8V,-0.47,0.03,2.43,0.02,5986,71,4.5,9.164,0.552,0.931,0.017,-4.92772979327,0.0286506172500003,,1.57,,,,,,,N,
HD139590,HD 139590  ,G3V,0.13,0.04,2.74,0.1,6142,92,2.7,2.219,1.571,1.176,0.047,,,,1.309,,,,,,,N,
HD139879,HD 139879  ,G3V,0.27,0.05,2.53,0.1,6075,158,3.6,1.875,1.632,1.186,0.043,-4.79172527077,-0.1614302223,,1.247,,,,,,,N,
HD140785,HD 140785  ,G2/3V,-0.02,0.02,2.04,0.12,5774,35,2.1,7.973,0.738,1.058,0.039,-4.893292395705,-0.0843156759649997,5.22821,1.745,,,,,,,N,
HD140901,HD 140901  ,G2/3V,0.09,0.01,0.75,0.42,5599,86,2,3.063,2.896,0.968,0.034,-4.791594502015,0.0884244626650004,,0.989,,,,,,,N,
HD141004,* lam Ser  ,G0-V,0,0.02,2.13,0.06,6017,138,2.9,4.149,2.566,1.097,0.047,-4.939217091995,0.0154241523750001,25.8,1.354,,,,,,,N,
HD141128,HD 141128  ,F3/5V,-0.02,0.05,1.96,,6548,125,4.5,1.097,0.791,1.308,0.042,,,1.11342,1.415,,,,,,,N,
HD141399,HD 141399  ,K0,0.36,,,,5542,57,2.5,8.131,1.343,1.058,0.029,-4.9715972495,-0.0432616829299999,,1.4,4,1.33,94.44,0.415,0.04,4.8770225,Y,
HD141597,HD 141597  ,F5/6V,-0.38,0.05,0.96,,6282,153,2.7,5.026,2.386,1.017,0.058,,,27.1518,1.339,,,,,,,N,
HD141598,HD 141598  ,G3V,-0.1,0.05,0.16,,5590,126,,5.882,4.186,0.923,0.043,,,,1.061,,,,,,,N,
HD141624,HD 141624  ,F8/G0V,-0.38,0.05,1.57,0.15,5915,57,,8.55,2.236,0.891,0.038,,,,1.107,,,,,,,N,
HD141937,HD 141937  ,G2/3V,0.13,0.01,2.38,0.03,5890,23,1.7,0.646,0.495,1.093,0.016,-4.75010386642,0.0549192079500003,5.63666,1.077,1,9.7,653.22,1.52,0.41,8.2609379,Y,1
HD142267,* 39 Ser  ,G1V,-0.43,0.03,0.92,,5853,50,0.1,7.733,2.507,0.855,0.028,-4.79119723607,-0.0146332788800008,18,1.002,,,,,,,N,
HD142331,HD 142331  ,G5V,0.017,0.003,0.68,,5692,40,1.95,7.11,2.108,0.939,0.028,,,,1.072,,,,,,,N,
HD142415,HD 142415  ,G1 V,0.09,0.03,2.1,0.02,5950,78,4.2,1.421,1.288,1.08,0.028,-4.937929055985,0.324725813905,6.26606,1.072,1,1.62,386.3,1.05,0.5,8.0458581,Y,1
HD142446,HD 142446  ,F3V,0.12,0.15,,,6635,148,66,0.918,0.634,1.386,0.03,,,,1.49,,,,,,,N,
HD142860,* gam Ser  ,F6IV,-0.18,0.02,2.18,0.03,6265,268,11.9,3.356,2.267,1.147,0.06,-4.75733897848,0.0904222064599995,,1.387,,,,,,,N,
HD142879,HD 142879  ,G3V,-0.39,0.04,1.8,0.12,5844,87,1.8,3.312,3.093,0.864,0.038,,,,0.873,,,,,,,N,
HD142A,HD142  ,F7V,0.05,0.02,2.92,,6379,89,9.34,1.596,0.866,1.264,0.024,-4.77036496665,,27.1518,1.464,2,6.55,349.7,1.02,0.17,6.7572699,Y,2
HD143114,HD 143114  ,G0+ V,-0.41,0.01,0.54,,5864,62,2.106,10.192,1.214,0.865,0.018,-4.79171494562,0.0257500112800004,15.7332,1.162,,,,,,,N,
HD143295,HD 143295  ,K2V,-0.03,0.04,1.2,0.15,4960,53,3.062,3.718,3.414,0.769,0.024,,,,0.788,,,,,,,N,
HD143361,HD 143361  ,G6V,0.14,0.06,,,5470,63,1.7,8.795,2.336,0.95,0.026,-4.861373821015,-0.0603793493849993,41,1.042,1,3.12,1057,2,0.15,9.5686380,Y,
HD143638,HD 143638  ,G2/3V,-0.27,0.05,1.96,0.1,5966,173,2.84,4.889,3.837,0.952,0.055,,,,1.13,,,,,,,N,
HD14374,HD 14374  ,G8V,-0.04,0.02,0.71,,5449,32,2,2.697,2.533,0.882,0.032,-4.665524606395,0.0126298151749999,21,0.852,,,,,,,N,
HD143761,* rho CrB  ,G0+Va Fe-1,-0.22,0.02,1.49,0.05,5853,108,4.9,9.03,1.824,0.95,0.03,-4.906201520355,-0.0461628067850004,,1.371,1,1.04,39.645,0.22,0.028,3.2710688,Y,1
HD143790,HD 143790  ,G2/3V,-0.02,0.05,2.86,0.1,6399,115,7,2.094,0.177,1.558,0.046,,,6.95652,2.75,,,,,,,N,
HD144009,HD 144009  ,G8 IV-V Fe+0.5,0.07,0.03,0.46,,5595,22,1.8,1.252,1.134,0.975,0.023,-4.81735346049,0,,0.953,,,,,,,N,
HD14412,HD 14412  ,G8 V,-0.45,0.02,0.88,0.06,5482,77,0.1,3.369,3.319,0.774,0.023,-4.903710674485,0.0697447509649995,13,0.762,,,,,,,N,
HD144270,HD 144270  ,F8,-0.11,0.07,2.55,0.02,5873,75,,1.796,1.727,0.979,0.029,,,8.26583,0.955,,,,,,,N,
HD14452,HD 14452  ,K0V,-0.13,0.04,0.3,,5345,48,1.8,3.54,3.355,0.816,0.031,,,,0.813,,,,,,,N,
HD144579,HD 144579  ,G2/3V,-0.64,0.02,0.27,,5379,92,3.26,5.294,4.178,0.725,0.022,-4.926460248285,-0.0346028056250001,36,0.793,,,,,,,N,
HD144585,HD 144585  ,G2/3V,0.32,0.01,1.69,0.02,5863,30,3.7,3.837,0.544,1.158,0.016,-4.80250493395,-0.19933489857,6.95652,1.393,,,,,,,N,
HD144628,HD 144628  ,K2V,-0.4,0.02,0.44,0.03,5084,43,3.97,4.632,3.887,0.724,0.02,-4.442286542515,-0.538179811935,14.1864,0.769,,,,,,,N,
HD144846,HD 144846  ,G1V,0.13,0.05,2.57,0.1,5926,98,,3.091,2.475,1.085,0.051,,,,1.165,,,,,,,N,
HD144880,HD 144880  ,F7V,-0.3,0.04,2.54,0.1,6140,58,2.7,6.737,1.03,1.013,0.042,,,0.940327,1.473,,,,,,,N,
HD145344,HD 145344  ,F5V,-0.68,0.03,2.41,0.1,6150,33,1.8,9.629,0.785,0.881,0.028,,,,1.407,,,,,,,N,
HD145377,HD 145377  ,G3V,0.09,0.04,2.33,0.02,5886,154,3.76,3.382,2.977,1.059,0.047,-4.86089254841,0.21318209152,,1.1,1,5.76,103.95,0.45,0.307,4.9457861,Y,1
HD145435,HD 145435  ,F5,0.02,0.03,2.77,0.05,6202,46,4.5,2.418,0.691,1.194,0.022,-4.757008950025,-0.119251568805,,1.427,,,,,,,N,
HD145478,HD 145478  ,G5V,0.04,0.07,2.02,0.09,5738,102,,4.311,3.387,0.999,0.041,,,8.19874,1.039,,,,,,,N,
HD145666,HD 145666  ,G2/3V,-0.04,0.01,2.36,0.1,5971,53,2.75,1.268,1.139,1.028,0.028,-4.812601509805,0.104450426935,17.9727,1.032,,,,,,,N,
HD145675,* 14 Her  ,K0V,0.44,0.02,0.91,0.15,5282,162,2,4.214,3.954,0.943,0.034,-5.034053522195,-0.140996385995,1.76838,1.007,1,4.64,1773.4,2.77,0.369,10.4357382,Y,1
HD145809,HD 145809  ,G3V,-0.25,0.01,2.07,0.02,5750,41,1.773,9.617,0.27,0.971,0.014,-4.88520746109,-0.0346577409700002,5.63666,1.686,,,,,,,N,
HD145927,HD 145927  ,G2/3V,-0.04,0.04,0.42,,5837,87,3,4.385,3.262,1,0.052,-4.76044580247,-0.0632893774999994,,1.247,,,,,,,N,
HD1461,HD 1461  ,G5V,0.19,0.01,0.6,0.07,5765,81,1.8,3.026,2.396,1.063,0.036,-5.14263260146,0.18870184281,29,1.143,2,0.0379,5.77152,0.0634,0,1.6080192,Y,2
HD146233,* 18 Sco  ,G2Va,0.06,0.01,1.55,0.04,5850,136,1.5,2.738,2.623,1.019,0.04,-4.424768335955,-0.418938829365,24,0.915,,,,,,,N,
HD14635,HD 14635  ,K4:V,-0.03,0.04,0.06,,4716,129,2.8,4.223,4.083,0.722,0.022,-4.5452528888,0,,0.781,,,,,,,N,
HD146481,HD 146481  ,G3V(w),-0.43,0.03,1.9,0.11,5727,58,1.8,11.229,0.338,0.903,0.015,-4.644386214635,-0.356396407305,1.05969,1.697,,,,,,,N,
HD14680,HD 14680  ,K2+ V,-0.17,0.03,0.31,,4950,66,3.6,4.783,4.072,0.754,0.024,,,,0.777,,,,,,,N,
HD147018,HD 147018  ,G8/K0V,0.12,0.1,,,5475,54,0,4.33,3.472,0.947,0.04,-4.55768554991,-0.0637609877400003,29,0.939,2,2.12,44.236,0.2388,0.133,3.9861748,Y,
HD147044,HD 147044  ,G0 V,-0.01,0.03,2.2,0.12,5939,77,2,2.267,1.941,1.027,0.035,-4.88312691628,0,0.934239,1.057,,,,,,,N,
HD147147,HD 147147  ,K5V,-0.17,0.06,0.67,,4802,126,,4.108,3.88,0.7,0.021,,,,0.74,,,,,,,N,
HD147195,HD 147195  ,G6V,-0.05,0.04,0.45,,5541,86,2.7,4.175,3.657,0.902,0.04,,,22.55,0.943,,,,,,,N,
HD147231,HD 147231  ,G5V,-0.01,0.03,1.01,,5654,58,1.8,6.911,2.839,0.951,0.032,-4.96147442413,0,23,1.128,,,,,,,N,
HD14745,HD 14745  ,F8V,-0.16,0.05,2.65,0.1,6219,52,3.6,2.457,1.622,1.084,0.05,,,,1.162,,,,,,,N,
HD14747,HD 14747  ,G7 V Fe-0.9,-0.39,0.01,0.28,,5688,47,4,7.913,3.045,0.826,0.027,-4.779610198715,-0.195759815615,,0.949,,,,,,,N,
HD147506,HD 147506  ,F8V,0.08,0.07,1.8,,6338,136,22.9,2.474,0.705,1.347,0.05,-4.88972988253,0.25197250131,,1.642,1,8.74,5.6334729,0.0674,0.5171,-1.3128234,Y,1
HD147512,HD 147512  ,G8/K0V,-0.08,0.01,0.36,,5575,128,1.988,4.328,3.836,0.903,0.036,-4.934995183135,0.135143604315,47.641701,0.963,,,,,,,N,
HD147513,HD 147513  ,G3/G5V,0.04,0.01,2.01,0.02,5883,85,2.2,1.473,1.392,1.027,0.027,-4.46961902044,-0.00857800505000039,8.5,0.96,1,1.21,528.4,1.32,0.26,8.9434285,Y,1
HD147518,HD 147518  ,G3/5V(w),-0.63,0.02,0.5,,5688,217,1.8,5.163,4.187,0.821,0.036,,,,0.946,,,,,,,N,
HD147873,HD 147873  ,G1V,0.3,0.1,,,6016,59,8.3,2.571,0.256,1.51,0.03,-4.767573099495,-0.265772551615,,2.378,2,5.14,116.596,0.522,0.207,3.9480886,Y,
HD14802,* kap For  ,G2V,-0.03,0.04,2.38,0.02,5908,182,2.9,5.125,1.279,1.168,0.047,-4.94913479284,0,,1.848,,,,,,,N,
HD148156,HD 148156  ,G0/2V,0.24,0.04,2.93,0.02,6213,144,5.41,1.309,1.069,1.241,0.03,-4.85980950793,0.0355817629800006,0.870625,1.33,1,0.85,1010,2.45,0.52,9.8273169,Y,1
HD148211,HD 148211  ,G2/3V,-0.61,0.03,2.07,0.1,5913,33,2.73,11.369,0.241,0.87,0.011,,,,1.39,,,,,,,N,
HD148303,HD 148303  ,K2.5 V,-0.03,0.06,0.82,,4904,151,1.992,4.058,3.735,0.759,0.024,-4.780098579695,0.169820899475,,0.802,,,,,,,N,
HD148577,HD 148577  ,G2/3V,-0.06,0.04,0.12,,5724,59,2.5,9.902,1.355,0.964,0.032,,,,1.353,,,,,,,N,
HD14868,HD 14868  ,G1V,0,0.04,1.67,0.12,5898,46,2.7,2.388,1.969,1.041,0.045,,,,1.06,,,,,,,N,
HD148816,HD 148816  ,G2/3V,-0.71,0.02,1.89,0.02,5944,76,2.7,11.147,0.456,0.837,0.009,-4.801750906765,-0.0229879703750004,1.09413,1.347,,,,,,,N,
HD149026,HD 149026  ,G0IV,0.36,0.06,2.34,0.02,6076,91,6,1.983,0.888,1.276,0.019,-4.92690817708,,,1.458,1,0.357,2.8758916,0.04288,0,-0.9939632,Y,1
HD149143,HD 149143  ,G3V,0.32,0.07,1.81,0.06,5823,47,3.9,4.324,0.692,1.253,0.042,-4.862760997045,-0.0380221199050004,28,1.728,1,1.33,4.07206,0.052,0.0123,-1.3006294,Y,1
HD149200,HD 149200  ,F6V,0.12,0.03,2.37,0.03,6292,89,5.4,1.749,0.951,1.255,0.027,-4.86521754065,0.0729335531400004,0.530738,1.414,,,,,,,N,
HD149396,HD 149396  ,G5IV/V,0.19,0.04,0.67,,5664,53,1.8,1.77,1.676,1.009,0.034,-4.6317109759,0,18,0.998,,,,,,,N,
HD149661,* 12 Oph  ,K2V,0.07,0.02,0.47,0.14,5265,99,2.2,3.435,3.474,0.866,0.025,-4.65883642921,0.0894232409599995,9.33533,0.738,,,,,,,N,
HD149724,HD 149724  ,G2/3V,0.38,0.02,2.04,0.12,5618,83,3,6.491,1.854,1.109,0.05,-4.933115583635,-0.140831596125,0.647002,1.477,,,,,,,N,
HD150139,HD 150139  ,F8V,-0.48,0.04,2.29,0.1,6081,111,4.5,8.687,1.863,0.91,0.04,,,,1.398,,,,,,,N,
HD150177,HD 150177  ,G2/3V,-0.58,0.02,2.45,0.1,6214,68,3.84,6.095,0.357,1.026,0.026,,,,1.959,,,,,,,N,
HD150248,HD 150248  ,G3 V comp?,-0.09,0.03,0.51,,5782,54,1.43,3.975,2.789,0.967,0.039,-4.780326450805,-0.0477541260850005,27.1518,1.056,,,,,,,N,
HD150433,HD 150433  ,G5V,-0.37,0.01,1.05,,5749,49,3,10.28,1.193,0.851,0.015,-4.65038185076,0.0567738431900002,0.8125,1.077,1,0.168,1096.2,1.9303,0,10.7068235,Y,1
HD150437,HD 150437  ,G2/3V,0.31,0.03,1.57,0.02,5769,44,3.4,5.258,0.95,1.119,0.024,-4.86827282459,-0.0782295269400004,,1.362,,,,,,,N,
HD150474,HD 150474  ,G2/3V,0.04,0.03,1.71,0.15,5400,130,1.5,8.602,0.516,1.056,0.034,,,,2.025,,,,,,,N,
HD150698,HD 150698  ,G2/3V,0.24,0.03,2.52,0.04,5809,45,3.6,4.662,0.644,1.253,0.054,-4.527962707955,0.586336063595,,1.958,,,,,,,N,
HD150706,HD 150706  ,G0,-0.08,0.05,2.52,0.02,5921,45,3.2,1.206,1.075,1.019,0.023,-4.514772116325,0.052919099995,4,0.994,1,2.71,5894,6.7,0.38,13.0475505,Y,1
HD150933,HD 150933  ,G2V,0.15,0.03,2.62,0.03,6112,28,5.5,3.226,0.468,1.195,0.021,-4.75233738844,0.00352802327000035,32.372898,1.411,,,,,,,N,
HD151044,HD 151044  ,F8V,0,0.03,2.84,0.03,6126,63,5.2,2.388,1.418,1.128,0.032,-4.766799098135,-0.015930498665,8,1.223,,,,,,,N,
HD151504,HD 151504  ,G8V,0.05,0.02,0.67,0.03,5435,40,0.8,8.231,2.43,0.914,0.024,-4.97231155591,0,39,1.006,,,,,,,N,
HD151772,HD 151772  ,F3/5V,-0.37,0.05,2.18,0.15,6349,130,9,4.638,1.49,1.068,0.053,,,27.1518,1.44,,,,,,,N,
HD151933,HD 151933  ,G2V,-0.21,0.05,1.57,0.12,5788,111,,9.416,1.771,0.953,0.038,,,,1.36,,,,,,,N,
HD152079,HD 152079  ,G6V,0.28,0.07,0.96,,5723,41,2.1,5.092,1.429,1.075,0.028,-4.93666245055,-0.0247586277699998,34,1.204,1,3,2097,3.2,0.6,10.7043054,Y,1
HD152391,HD 152391  ,G8.5 V (k),0.03,0.02,1.28,0.12,5461,46,3.8,1.201,1.179,0.916,0.018,-4.293691902235,-0.0901311657849995,11.43,0.88,,,,,,,N,
HD152433,HD 152433  ,F8V,-0.09,0.04,2.53,0.1,6038,86,2.7,5.188,2.294,1.039,0.054,,,,1.244,,,,,,,N,
HD152446,HD 152446  ,F8IV,-0.07,0.03,2.12,0.02,6233,66,8.1,4.096,0.661,1.182,0.036,-4.72957139676,0,,1.636,,,,,,,N,
