ID,Name,SpType,[Fe/H],e[Fe/H],A(Li),eA(Li),Teff_K,eTeff_K,vsini,Age_Ga,eAge_Ga,M_Msol,eM_Msol,logRHK,elogRHK,Prot_d,R_Rsol,N_planets,sum_Mp,Porb_d,a_au,e,logOD,Pl,Nbr.
WASP-22,WASP-22  ,G,0.26,0.03,2.49,,6061,139,4.29,1.355,1.261,1.134,0.029,-4.6765,2.106,,1.2,1,0.617,3.5327313,0.04698,0,-0.5582007,Y,1
WASP-24,WASP-24  ,F8-9,0.09,0.04,2.52,,6138,290,5.55,2.777,2.179,1.209,0.058,-5.0264,0.941,,1.29,1,1.071,2.3412127,0.03651,0,-1.6548141,Y,1
WASP-26,WASP-26  ,G0,0.16,0.02,2.09,,5727,160,2.4,5.912,3.396,1.066,0.047,-4.5969,2.53,,1.41,1,1.028,2.7566004,0.03985,0,-1.6685730,Y,1
WASP-28,WASP-28  ,F8-G0,-0.12,0.03,2.51,,5924,235,4.39,,,,,,,,1.13,1,0.907,3.40883,0.04469,0.046,,Y,1
WASP-29,WASP-29  ,K4V,0.17,0.05,0.57,,4732,70,1.5,4.301,3.898,0.784,0.017,,,,0.778,1,0.242897146273,3.922727,0.0457,0.03,0.5572808,Y,1
WASP-35,WASP-35  ,,-0.05,0.05,2.38,,5904,162,2.4,4.38,3.505,1.024,0.051,,,,1.13,1,0.72,3.161575,0.04317,0,-0.8217997,Y,1
WASP-36,WASP-36  ,G2,-0.01,0.05,1.94,,5913,301,4.01,3.737,3.534,1,0.047,,,,0.95,1,2.279,1.5373653,0.02624,0,-2.3297851,Y,1
WASP-38,HD 146389  ,F8,0.06,0.04,2.2,,6170,132,7.43,3.026,1.578,1.202,0.043,,,,1.331,1,2.712,6.871815,0.07551,0.0321,-0.1065818,Y,1
WASP-55,WASP-55  ,G1,0.09,0.04,2.51,,5947,168,3.1,3.011,2.755,1.074,0.048,,,,1.07,1,0.57,4.465633,0.0533,0,0.1032541,Y,1
WASP-62,CPD-64 484  ,F7,0.24,0.05,2.63,,6126,271,8.7,2.378,2.126,1.191,0.05,,,,1.21,1,0.57,4.411953,0.0567,0,-0.0667599,Y,1
WASP-66,WASP-66  ,F4,0.05,0.05,3.39,,6433,227,13.4,1.997,1.01,1.372,0.045,,,,1.727,1,2.32,4.086052,0.0546,0,-1.4294786,Y,1
WASP-71,WASP-71  ,,0.37,0.04,2.33,,,524,,1.751,1.024,1.526,0.037,,,,2.26,1,2.258,2.9036747,0.04631,0,-2.5214696,Y,1
WASP-77 A ,BD-07 436A  ,G8,0.07,0.03,0.59,,,107,4,3.45,3.26,0.946,0.033,,,,0.955,1,1.76,1.3600309,0.024,0,-2.5238985,Y,1
WASP-78,WASP-78  ,F8,-0.07,0.05,1.5,,6317,117,7.2,2.552,0.256,1.448,0.037,,,,2.01,1,0.89,2.17517656,0.0415,0,-2.4669679,Y,1
WASP-8,CD-35 16019A  ,G6,0.29,0.03,1.54,,5610,50,2.1,1.322,1.182,1.036,0.02,,,,0.945,1,2.244,8.158715,0.0801,0.31,0.8703484,Y,1
